@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
77,'2018/04/07 15:46:51:615',2,384.402863,299.096619,23.985031,397.965973,249.397903,43.974979,331.754028,249.880676,47.386364,283.123749,252.293655,45.319897,194.779236,265.719879,38.15213,1,0,0,0,0,0,0,0,0
78,'2018/04/07 15:46:51:664',2,384.769958,298.891541,23.962259,398.114624,249.469101,43.980431,331.77356,249.86705,47.399143,283.091217,252.232819,45.334759,194.775299,265.773804,38.169334,1,0,0,0,0,0,0,0,0
79,'2018/04/07 15:46:51:712',2,385.887512,298.616638,23.984783,398.14447,249.484543,44.000687,331.685303,249.993927,47.421188,282.983368,252.2827,45.355824,194.671844,265.835846,38.184093,1,0,0,0,0,0,0,0,0
80,'2018/04/07 15:46:51:762',2,387.008392,298.296753,24.087351,397.823425,249.514191,44.105869,331.077332,250.006958,47.517944,282.597137,252.639587,45.440361,194.292542,266.085693,38.24044,1,0,0,0,0,0,0,0,0
81,'2018/04/07 15:46:51:813',2,387.798035,297.878754,24.156338,397.627625,249.484177,44.17128,330.790527,250.066452,47.575642,282.381348,252.821365,45.489838,194.140549,266.244446,38.269413,1,0,0,0,0,0,0,0,0
82,'2018/04/07 15:46:51:862',2,388.043152,297.70752,24.170435,397.569611,249.473251,44.178787,330.669495,250.058533,47.583675,282.283173,252.865829,45.497356,194.039825,266.28656,38.272381,1,0,0,0,0,0,0,0,0
83,'2018/04/07 15:46:51:914',2,388.734497,297.634552,24.208664,397.658234,249.451996,44.172558,330.746979,250.090012,47.584362,282.343323,252.889847,45.503445,194.09552,266.398132,38.288101,1,0,0,0,0,0,0,0,0
84,'2018/04/07 15:46:51:962',2,388.932648,297.653931,24.22241,397.769348,249.472229,44.175938,330.866302,250.171249,47.59087,282.477631,253.021408,45.512505,194.22261,266.566895,38.302128,1,0,0,0,0,0,0,0,0
85,'2018/04/07 15:46:52:013',2,389.013062,297.681702,24.20376,397.899078,249.548798,44.175537,331.048218,250.311203,47.5938,282.611877,253.13887,45.518188,194.391205,266.737732,38.311787,1,0,0,0,0,0,0,0,0
86,'2018/04/07 15:46:52:063',2,388.74176,297.978363,24.198282,398.404541,249.711426,44.191029,331.581421,250.505371,47.609653,283.124146,253.247192,45.535206,194.823761,266.784546,38.326923,1,0,0,0,0,0,0,0,0
87,'2018/04/07 15:46:52:112',2,387.567627,298.435913,24.146116,398.86795,249.80751,44.214554,332.069427,250.649704,47.636089,283.533722,253.170227,45.566048,195.169067,266.74408,38.359879,1,0,0,0,0,0,0,0,0
88,'2018/04/07 15:46:52:163',2,387.069092,298.529449,24.114599,399.138794,249.888184,44.235229,332.345306,250.783249,47.662224,283.782166,253.151581,45.596268,195.195801,266.643433,38.388222,1,0,0,0,0,0,0,0,0
89,'2018/04/07 15:46:52:216',2,386.74762,298.357208,24.099054,399.335114,249.990524,44.25985,332.588135,250.953705,47.697994,283.920715,253.050125,45.639114,195.175339,266.57074,38.433907,1,0,0,0,0,0,0,0,0
90,'2018/04/07 15:46:52:265',2,386.05545,298.608521,24.178637,399.749359,250.214294,44.325836,333.006409,251.000778,47.778339,284.237427,252.816574,45.729568,195.17128,266.269501,38.541496,1,0,0,0,0,0,0,0,0
91,'2018/04/07 15:46:52:316',2,385.420746,298.81665,24.177698,400.042358,250.474258,44.34935,333.298065,251.157578,47.808758,284.472351,252.820511,45.76503,195.232391,266.200958,38.582291,1,0,0,0,0,0,0,0,0
92,'2018/04/07 15:46:52:364',2,384.42276,298.686005,24.121532,400.404663,251.163116,44.382141,333.634644,251.536713,47.876259,284.725983,253.02417,45.851788,195.134048,266.187378,38.682846,1,0,0,0,0,0,0,0,0
93,'2018/04/07 15:46:52:415',2,383.481079,298.623718,24.114695,400.109375,251.390656,44.427761,333.380798,251.723099,47.931919,284.380859,253.021606,45.914215,194.618408,266.035034,38.744347,1,0,0,0,0,0,0,0,0
94,'2018/04/07 15:46:52:463',2,381.459045,298.4245,24.041166,399.654327,251.278564,44.393143,333.080383,251.688644,47.907864,283.984802,252.753113,45.90078,194.014603,265.506195,38.741264,1,0,0,0,0,0,0,0,0
95,'2018/04/07 15:46:52:517',2,377.80014,298.70105,24.05953,399.589691,251.150177,44.407063,333.086731,251.697479,47.937,283.978119,252.629074,45.942326,193.795486,265.15155,38.794411,1,0,0,0,0,0,0,0,0
96,'2018/04/07 15:46:52:565',2,376.025177,298.99823,24.167299,399.530701,251.189713,44.416477,333.001495,251.565567,47.945988,283.919556,252.510544,45.949287,193.680054,264.930176,38.802589,1,0,0,0,0,0,0,0,0
97,'2018/04/07 15:46:52:614',2,375.461975,299.165161,24.334625,399.342041,251.031189,44.460491,332.773621,251.475372,47.968857,283.685333,252.317322,45.957527,193.536789,264.674255,38.790897,1,0,0,0,0,0,0,0,0
98,'2018/04/07 15:46:52:663',2,375.270569,298.967255,24.324223,399.226624,250.98288,44.453354,332.674133,251.535568,47.965759,283.567993,252.356918,45.957546,193.380905,264.55127,38.785263,1,0,0,0,0,0,0,0,0
99,'2018/04/07 15:46:52:716',2,376.327911,299.173462,24.45594,399.101654,250.767105,44.477333,332.544769,251.344849,47.989677,283.383698,252.090073,45.982063,193.25946,264.438965,38.8162,1,0,0,0,0,0,0,0,0
100,'2018/04/07 15:46:52:763',2,377.922363,298.95517,24.510086,398.966278,250.380142,44.42561,332.436523,251.101013,47.938187,283.211914,251.696259,45.93182,193.172806,264.151947,38.760845,1,0,0,0,0,0,0,0,0
101,'2018/04/07 15:46:52:816',2,379.687775,298.94812,24.666946,398.908997,250.161011,44.399052,332.367004,250.810425,47.918194,283.190613,251.455566,45.917595,193.102097,263.890076,38.755836,1,0,0,0,0,0,0,0,0
102,'2018/04/07 15:46:52:864',2,379.823578,298.940308,24.704998,398.942627,250.026688,44.38982,332.42868,250.644608,47.914574,283.185333,251.097244,45.918201,193.048218,263.648193,38.767139,1,0,0,0,0,0,0,0,0
103,'2018/04/07 15:46:52:914',2,378.556763,299.235107,24.783083,399.07431,249.870712,44.375134,332.655182,250.497665,47.90744,283.367676,250.885117,45.918518,193.144806,263.410706,38.781532,1,0,0,0,0,0,0,0,0
104,'2018/04/07 15:46:52:962',2,377.19162,299.645569,24.928886,399.231171,249.917007,44.371105,332.940735,250.517136,47.90818,283.566681,250.773605,45.927528,193.223053,263.220337,38.800049,1,0,0,0,0,0,0,0,0
105,'2018/04/07 15:46:53:013',2,376.7005,299.910797,25.022694,399.337921,249.91983,44.381912,333.157196,250.567856,47.915459,283.753479,250.739197,45.937546,193.364624,263.178406,38.813583,1,0,0,0,0,0,0,0,0
106,'2018/04/07 15:46:53:065',2,376.424896,300.10965,25.092304,399.442627,249.936707,44.390411,333.263672,250.516296,47.920975,283.891388,250.682449,45.940777,193.484955,263.097839,38.816345,1,0,0,0,0,0,0,0,0
107,'2018/04/07 15:46:53:114',2,376.491333,300.167603,25.112329,399.472015,249.943024,44.391647,333.294312,250.513931,47.915886,283.963013,250.707809,45.93145,193.58902,263.112183,38.802521,1,0,0,0,0,0,0,0,0
108,'2018/04/07 15:46:53:163',2,376.734711,300.284454,25.099335,399.53241,250.076614,44.362129,333.348236,250.661774,47.866413,284.143036,250.923355,45.868031,193.936707,263.244537,38.720295,1,0,0,0,0,0,0,0,0
109,'2018/04/07 15:46:53:213',2,376.791138,300.426941,25.138245,399.514984,250.152878,44.360481,333.368164,250.743332,47.855225,284.231171,251.050659,45.8512,194.119049,263.320129,38.700432,1,0,0,0,0,0,0,0,0
110,'2018/04/07 15:46:53:263',2,376.781311,300.475281,25.133354,399.51178,250.198441,44.332058,333.41684,250.814362,47.827744,284.345795,251.243027,45.824867,194.353027,263.482971,38.683613,1,0,0,0,0,0,0,0,0
111,'2018/04/07 15:46:53:317',2,376.816956,300.565979,25.159956,399.490143,250.215912,44.322731,333.440063,250.842087,47.815216,284.387817,251.321884,45.810867,194.472244,263.43988,38.673309,1,0,0,0,0,0,0,0,0
112,'2018/04/07 15:46:53:366',2,377.174103,300.84552,25.236956,399.514465,250.262909,44.316864,333.498718,250.9048,47.808548,284.441406,251.281326,45.804985,194.583649,263.478271,38.668839,1,0,0,0,0,0,0,0,0
113,'2018/04/07 15:46:53:415',2,377.841522,300.566528,25.188204,399.786621,250.41127,44.32663,333.839172,251.294373,47.838043,284.745605,251.768097,45.84753,194.82811,263.886993,38.711365,1,0,0,0,0,0,0,0,0
114,'2018/04/07 15:46:53:462',2,378.814148,301.008545,25.255024,400.081848,250.476944,44.323326,334.126587,251.355667,47.838799,285.043579,251.961975,45.849384,195.098206,264.004517,38.721268,1,0,0,0,0,0,0,0,0
115,'2018/04/07 15:46:53:514',2,379.905792,301.299011,25.345427,400.202423,250.538925,44.331284,334.234222,251.410904,47.842613,285.178284,252.132477,45.848412,195.228195,264.007813,38.714256,1,0,0,0,0,0,0,0,0
116,'2018/04/07 15:46:53:564',2,381.071075,301.43689,25.480095,400.383911,250.60936,44.341583,334.423859,251.438187,47.851723,285.336853,252.110321,45.855724,195.48616,264.06366,38.716606,1,0,0,0,0,0,0,0,0
117,'2018/04/07 15:46:53:616',2,383.901855,301.515106,25.711828,400.618805,250.659988,44.353554,334.711884,251.502258,47.863239,285.589447,252.019882,45.867706,195.792343,264.049622,38.7285,1,0,0,0,0,0,0,0,0
118,'2018/04/07 15:46:53:664',2,387.309357,301.525574,25.952492,400.840393,250.663834,44.355808,334.990997,251.459686,47.870506,285.847168,251.941086,45.879147,196.057465,263.947998,38.753464,1,0,0,0,0,0,0,0,0
119,'2018/04/07 15:47:00:416',3,485.237549,264.267456,23.731554,392.846436,318.927856,33.288963,337.976746,246.829453,48.894909,290.373474,241.691071,46.752064,197.089294,258.976685,39.673409,0,1,0,0,0,0,0,0,0
120,'2018/04/07 15:47:00:464',3,485.124939,264.269043,23.688974,392.676941,318.778717,33.293556,337.745178,246.730774,48.832436,290.245544,241.597717,46.681835,196.908157,258.895721,39.600029,0,1,0,0,0,0,0,0,0
